hour,day_of_week,is_weekend,is_peak_hour,school_open,college_open,festival,political_event,mall_opening,special_event,rain,traffic_index
0,2,0,0,1,1,1,1,1,1,0,477
1,2,0,0,1,1,0,0,0,0,2,102
2,2,0,0,1,1,0,0,0,0,1,62
3,2,0,0,1,1,0,0,0,0,0,40
4,2,0,0,1,1,0,0,0,0,0,42
5,2,0,0,1,1,0,0,0,0,0,43
6,2,0,0,1,1,0,0,0,0,0,40
7,2,0,0,1,1,0,0,0,0,1,102
8,2,0,1,1,1,0,0,0,0,0,105
9,2,0,1,1,1,0,0,0,0,1,127
10,2,0,1,1,1,0,0,0,0,0,87
11,2,0,0,1,1,0,0,0,0,2,119
12,2,0,0,1,1,0,0,0,0,1,95
13,2,0,0,1,1,0,0,0,0,0,69
14,2,0,0,1,1,0,0,0,0,0,73
15,2,0,0,1,1,0,0,0,0,0,62
16,2,0,0,1,1,0,0,0,0,0,58
17,2,0,1,1,1,0,0,0,0,0,122
18,2,0,1,1,1,0,0,0,0,0,118
19,2,0,1,1,1,0,0,0,0,0,138
20,2,0,0,1,1,0,0,0,0,0,118
21,2,0,0,1,1,0,0,0,0,0,43
22,2,0,0,1,1,0,0,0,0,0,45
23,2,0,0,1,1,0,0,0,0,0,46
0,3,0,0,1,1,0,0,0,0,0,40
1,3,0,0,1,1,0,0,0,0,1,68
2,3,0,0,1,1,0,0,0,0,0,46
3,3,0,0,1,1,0,0,0,0,0,40
4,3,0,0,1,1,0,0,0,0,0,43
5,3,0,0,1,1,0,0,0,0,0,48
6,3,0,0,1,1,0,0,0,0,0,77
7,3,0,0,1,1,0,0,0,0,0,77
8,3,0,1,1,1,0,0,0,0,0,101
9,3,0,1,1,1,0,0,0,0,2,157
10,3,0,1,1,1,0,0,0,0,2,143
11,3,0,0,1,1,0,0,0,0,1,86
12,3,0,0,1,1,0,0,0,0,0,67
13,3,0,0,1,1,0,0,0,0,0,75
14,3,0,0,1,1,0,0,0,0,0,73
15,3,0,0,1,1,0,0,0,0,0,58
16,3,0,0,1,1,0,0,0,0,0,60
17,3,0,1,1,1,0,0,0,0,0,130
